тип_объекта,название,описание,цена,валюта,страна,город,адрес,локация,площадь,жилая_площадь,комнаты,ванные,спален,этажей_здания,участок_м2,бассейн,сад,гараж,балкон,парковка,электричество,интернет,охрана,мебель,ремонт,состояние,отопление,водоснабжение,канализация,дополнительные_удобства,фото,статус_модерации,тип_продажи,аукцион,начало_аукциона,конец_аукциона,стартовая_цена_аукциона,минимальная_цена_продажи,долевая_собственность,всего_долей,есть_долг,отмечен_долг,долг_ипотека,долг_налоги,долг_коммунальные,долг_арест,сумма_долга,критичность_долга,прочее_по_долгам,координаты,тест_драйв,тест_драйв_цена_день,тест_драйв_залог,год_постройки,тип_здания
villa,Доли «Изида Лайтхаус» на первой линии к скалам,"Премиальная белая архитектура, бассейн-инфинити к океану. Доля 1/X в проекте: цена указана как оценка всего дома для расчёта доли долей. HOA и техническое обслуживание бассейна включены в бюджет сообщества для будущего.",520000,EUR,Испания,Тенерифе,Faro Isora Lighthouse 2,"Faro Isora 2, Guía de Isora, Тенерифе",340,298,10,8,9,4,690,1,1,2,1,1,1,1,1,1,хай-энд,новое,тепловой насос + фанкойлы,городское,канализация,"вид на утёсы; SPA; охранная сигнализация мониторится","https://images.unsplash.com/photo-1600573472558-afc0b095510a?w=1200&q=80; https://images.unsplash.com/photo-1600566752844-ec7d929b1d4a?w=1200&q=80; https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200&q=80",approved,share,0,,,,,1,100,0,,0,,,,,,"28.2350,-16.7750",0,,,2022,монолит + стекло
house,Доли «Канарский сад» — дом с гостевыми апартаментами,"Дом разделён на основное крыло и лицензируемый гостевой блок (подтверждается выгрузкой licencia). Доли продаются для коллективного владения; распределение арендного дохода по уставу.",380000,EUR,Испания,Тенерифе,Calle Jardín Canario 14,"Jardín Canario 14, Puerto de la Cruz, Тенерифе",220,188,7,4,5,3,410,1,1,1,1,1,1,1,0,1,смешанный стиль,хорошее,газовый котёл,городское,канализация,"гостевой вход; отдельный счётчик воды на блок","https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80; https://images.unsplash.com/photo-1605146769289-440113cc3768?w=1200&q=80",approved,share,0,,,,,1,80,0,,0,,,,,,"28.4186,-16.5486",0,,,2011,кирпич
villa,Доли виллы «Мокан» с видом на Тейде,"Вилла с двумя мастер-спальнями и отдельным офисом. Участок ухожен, полив дождевой водой. Доли для друзей/совладельцев; юридическая структура SA пример в комплекте документов.",445000,EUR,Испания,Тенерифе,Villa Moján Norte 30,"Moján 30, Tacoronte, Тенерифе",296,246,8,6,7,3,595,1,1,1,1,1,1,1,1,1,евростандарт,отличное,тепловой насос,комбинированное,канализация,"кинозал; кладовая для оборудования","https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=1200&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1200&q=80; https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80",approved,share,0,,,,,1,96,0,,0,,,,,,"28.5040,-16.4080",0,,,2015,монолит
house,Доли «Кота zero» возле променада Санта-Круса,"Стиль модерн с террасой навесом из тику. Совместное владение с правом проживания по квотам недель; удобно для тех кто живёт между материком и островом.",275000,EUR,Испания,Тенерифе,Avenida Anaga 55,"Anaga 55, Santa Cruz de Tenerife, Тенерифе",185,156,5,3,4,2,220,0,1,0,1,0,1,1,0,1,минимализм,хорошее,кондиционер + тёплые полосы в санузлах,городское,канализация,"байк-хранилище; интерактивный звонок",https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80; https://images.unsplash.com/photo-1600566752844-ec7d929b1d4a?w=1200&q=80,approved,share,0,,,,,1,120,0,,0,,,,,,"28.4636,-16.2518",0,,,2019,монолит
villa,Доли виллы «Волканика» под аренду краткосрочную,"Стекло и базальтовый камень острова в отделке. Доля в SPA-вилле; администрирование ключей профессиональным оператором. Оценочная сумма указана как стоимость объекта до распределения.",590000,EUR,Испания,Тенерифе,Villa Volcanica Sur 11,"Volcanica 11, San Miguel de Abona, Тенерифе",378,322,11,9,10,4,745,1,1,2,1,1,1,1,1,1,"дорогой финиш новострой",класса премиум,тепловой насос,городское,канализация,"SPA; второй маленький бассейн для детей; генератор резервный","https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80; https://images.unsplash.com/photo-1600566752844-ec7d929b1d4a?w=1200&q=80; https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200&q=80; https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80",approved,share,0,,,,,1,64,0,,0,,,,,,"28.0986,-16.6172",0,,,2024,монолит
villa,Аукцион + «продать сейчас» — «Бианка Альто»,"Панорамы океана, электро-забор и гостевая комната с отдельной кухонной нишей. Стартовая ставка ограничена от цены выкупа согласно правилам площадки.",548000,EUR,Испания,Тенерифе,Ronda Alta Bianca 3,"Bianca 3, Costa Adeje, Тенерифе",298,246,8,6,7,3,498,1,1,2,1,1,1,1,1,1,premium turnkey,новое,тепловые полосы,городское,канализация,"внешняя бар зона; склад под серф","https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=1200&q=80; https://images.unsplash.com/photo-1600566752844-ec7d929b1d4a?w=1200&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1200&q=80",approved,auction,1,2026-06-20T09:00:00.000Z,2026-08-28T21:00:00.000Z,162000,485000,0,,0,0,0,0,0,0,0,,,"28.1020,-16.7243",0,,,2020,монолит
house,Аукцион и мгновенная продажа — «Эль-Пинильо»,"Семейный дом с качественной изоляцией и солнечными панелями. Минимальная цена защиты для продавца ниже потолка выкупа; стартовая ставка в пределах 30% от buy-now.",422000,EUR,Испания,Тенерифе,Calle El Pinillo 17,"El Pinillo 17, La Orotava, Тенерифе",210,178,6,4,5,2,440,1,1,1,1,1,1,1,0,1,современный,очень хорошее,тепловой насос,городское,канализация,"детская игровая; теннисный стол навесной","https://images.unsplash.com/photo-1605146769289-440113cc3768?w=1200&q=80; https://images.unsplash.com/photo-1605276373964-11f067e124a9?w=1200&q=80; https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80",approved,auction,1,2026-06-22T10:00:00.000Z,2026-09-01T20:00:00.000Z,124000,358000,0,,0,0,0,0,0,0,0,,,"28.3920,-16.5300",0,,,2016,блок
villa,Вилла «Маренго» — buy now + торги,"Морской бриз с террасы, натуральный камень и белая штукатурка. Ориентир для инвестора: ликвидный район, короткий путь к марине.",575000,EUR,Испания,Тенерифе,Calle Marengo 8,"Marengo 8, Los Gigantes, Тенерифе",318,265,8,5,6,3,520,1,1,1,1,1,1,1,1,1,люкс,отличное,тепловой насос,городское,канализация,"причальная зона для швартовки лодки договаривается отдельно; сауна","https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200&q=80; https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200&q=80",approved,auction,1,2026-06-25T11:00:00.000Z,2026-09-05T21:00:00.000Z,168000,495000,0,,0,0,0,0,0,0,0,,,"28.2333,-16.8511",0,,,2018,монолит
house,«Каса Алава» — аукцион с выкупом,"Дом с низким потреблением энергии (сертификат ожидается до сделки). Удобный заезд, парковка на два авто, кухня с островом.",398000,EUR,Испания,Тенерифе,Arroyo Alava 4,"Alava 4, Guía de Isora, Тенерифе",198,168,6,3,5,2,360,0,1,1,1,1,1,1,0,1,современный,хорошее,газ + кондиционер,городское,канализация,"навес для авто; солнечная батарея 6 кВт","https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80; https://images.unsplash.com/photo-1600566753084-00f18fb6b3ea?w=1200&q=80; https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80; https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=1200&q=80",approved,auction,1,2026-06-28T09:30:00.000Z,2026-09-10T20:30:00.000Z,117000,340000,0,,0,0,0,0,0,0,0,,,"28.2080,-16.7600",0,,,2013,блок
villa,Вилла «Салинас» — горячий buy now,"Рядом с природными бассейнами, вилла с двумя мастер-спальнями и рабочим кабинетом. Камерная беседка с грилем. Все коммуникации центральные.",598000,EUR,Испания,Тенерифе,Salinas del Duque 6,"Salinas 6, Adeje, Тенерифе",305,258,8,5,6,2,540,1,1,2,1,1,1,1,1,1,премиум,новое,тепловой насос,городское,канализация,"внешний бар; душевая у бассейна",https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80; https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=1200&q=80; https://images.unsplash.com/photo-1600566752844-ec7d929b1d4a?w=1200&q=80,approved,auction,1,2026-07-01T08:00:00.000Z,2026-09-15T22:00:00.000Z,174000,512000,0,,0,0,0,0,0,0,0,,,"28.1180,-16.7380",0,,,2021,монолит
